
knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 28, 0, 0.967876, 0.984921, 0.976165, 2972420626.25, 83227777535, 83884236442
3, 28, 1, 0.93767246837093110034544451991678216, 0.98630952380952385816215155500685796, 0.96080360790130059367442072471021675, 2972420626.25, 83227777535, 83884236442
3, 28, 2, 0.97692865434462061724474324364564382, 0.9272759601706969112555611900461372, 0.95090013199123790688105373192229308, 2972420626.25, 83227777535, 83884236442
3, 28, 3, 0.95269798017959772540308449606527574, 0.94452488202488193991257503512315452, 0.94790856583242255606336357232066803, 2972420626.25, 83227777535, 83884236442
3, 28, 4, 0.96894267475730289085333879484096542, 0.9483793517406959860949200447066687, 0.958012284777459699469659426540602, 2972420626.25, 83227777535, 83884236442
3, 28, 5, 0.94757081534960030388958784897113219, 0.94707115800865793175944418180733919, 0.94650463444249710587286017471342348, 2972420626.25, 83227777535, 83884236442
3, 28, 6, 0.96098357222306796110444793157512322, 0.9840419501133785828983491228427738, 0.97203257079760596592876709109987132, 2972420626.25, 83227777535, 83884236442
3, 28, 7, 0.93325041208889547572624678650754504, 0.96050091444828289422019906851346605, 0.94604605022733989638794582788250409, 2972420626.25, 83227777535, 83884236442
3, 28, 8, 0.98028591050132241058179261017357931, 0.89900050929462671511771532095735893, 0.93672337791688442543147630203748122, 2972420626.25, 83227777535, 83884236442
3, 28, 9, 0.91551817596796869480613167979754508, 0.93455215419501136420166176321799867, 0.9235963950623287121999283044715412, 2972420626.25, 83227777535, 83884236442

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 29, 0, 0.968989, 0.986873, 0.977573, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 1, 0.93771838272259300239852564118336886, 0.98633933388924299734412670659366995, 0.96073461242832436379757155009428971, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 2, 0.97948450938602527049425816585426219, 0.93199233716475082811570018748170696, 0.95446192453140521472221280419034883, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 3, 0.95203598877533968103392680859542452, 0.94450883801796570171660505366162397, 0.94775368769352918985049427647027187, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 4, 0.96768657306182648270009849511552602, 0.94956666052000715527725560605176724, 0.95802464755070027013772460122709163, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 5, 0.94707198077936793900732936890562996, 0.95352474972191314517289129071286879, 0.94979907781237649100347653075004928, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 6, 0.96243342602368930904788157931761816, 0.98501883512025489864072369528003037, 0.97314670778060641254114671028219163, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 7, 0.93822433003848293431303773104446009, 0.95771756978653499459142039995640516, 0.94742539556459537397614667497691698, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 8, 0.98456936169741648967601577169261873, 0.89785788923719933585232411132892594, 0.93832542567412768885759533077361993, 2872633877.551723957061767578125, 83306382449, 83986457543
3, 29, 9, 0.91461678731488249560754866251954809, 0.93451173572877399564617917349096388, 0.92361237569382903522807737317634746, 2872633877.551723957061767578125, 83306382449, 83986457543
knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 30, 0, 0.970766, 0.986869, 0.978539, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 1, 0.93838235973666039857477016994380392, 0.9872122122122121146148288062249776, 0.9616562159658923469862656929763034, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 2, 0.9781709779871543553042556595755741, 0.92733893557422963915826130687491968, 0.95131589223753465489608061034232378, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 3, 0.95469808282308266100812943477649242, 0.94563279857397475325342384167015553, 0.94920992763014255810816166558652185, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 4, 0.96858726859082644455867239230428822, 0.95044191919191922668375127614126541, 0.95889280131017329278364513811538927, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 5, 0.94768260016429251013647672152728774, 0.9537275985663079547194342922011856, 0.95017226619898997874713586497819051, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 6, 0.96201141315111893259626185681554489, 0.98520499108734393978181742568267509, 0.97298647917740721524637592665385455, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 7, 0.93908070095716389413809110919828527, 0.96050420168067207615791858188458718, 0.94896738605910491148875962608144619, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 8, 0.98322944806398626660381978581426665, 0.90090725806451599222413051393232308, 0.93951068574877116823529377143131569, 2769640153.400000095367431640625, 83089204602, 83747811203
3, 30, 9, 0.91725615457930109730710910298512317, 0.93758169934640500642331062408629805, 0.92631289668952787597078213366330601, 2769640153.400000095367431640625, 83089204602, 83747811203

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 31, 0, 0.970084, 0.986863, 0.978108, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 1, 0.93780006568631391061785507190506905, 0.98632872503840240963057794942869805, 0.96109429369851406832481188757810742, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 2, 0.97823111749245672541519525111652911, 0.93117129549767108098734524901374243, 0.95337920097782979933498381797107868, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 3, 0.95409663134562505693025968867004849, 0.94648093841642222390220240413327701, 0.94923610093321642011687799822539091, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 4, 0.96902128108262153283192219532793388, 0.95356399583766915384330786764621735, 0.96072222923044603426490084530087188, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 5, 0.94791652571264306548215472503216006, 0.95372636262513876825863690100959502, 0.95013412995270785099677368634729646, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 6, 0.96305431996845647368843401636695489, 0.98506231671554256301703844656003639, 0.97357359575451940525425698069739155, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 7, 0.93768830608251863001356696258881129, 0.95882927951239127484228674802579917, 0.94763499605147372140123707140446641, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 8, 0.98237292997196479227284271473763511, 0.89993062781824439966271711455192417, 0.93842634525284573943082477853749879, 2686132444.516129016876220703125, 83270105780, 83954022651
3, 31, 9, 0.91839627690548097938005867035826668, 0.93362047898338218487879203166812658, 0.92528160613872545425806492858100682, 2686132444.516129016876220703125, 83270105780, 83954022651

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
