cant_entrenemiento,clase,precision,recall,f1,tiempo_por_fold,tiempo_total_knn_pca,tiempo_total_fold
6000,8,0.96920019790280387272929374375962652,0.86730187537810043973962592644966207,0.91452133315602956997736328048631549,9385273360.8999996185302734375,93852733609,94172636340
6000,9,0.88428098018833034554830874185427092,0.90771478667445948396164112637052312,0.89531706680828659905557742604287341,9385273360.8999996185302734375,93852733609,94172636340
7000,0,0.962012,0.981138,0.971352,11176477155.3999996185302734375,111764771554,112118310843
7000,1,0.91737080842134477443039486388443038,0.98844488844488842538282824534690008,0.95137754219502546071396409388398752,11176477155.3999996185302734375,111764771554,112118310843
7000,2,0.98299176105800789571276254719123244,0.90685964912280714322889707545982674,0.94273913922424945610600843792781234,11176477155.3999996185302734375,111764771554,112118310843
7000,3,0.93969970051719386994193428108701482,0.95309036658141521591858236206462607,0.94615161221073518227342447062255815,11176477155.3999996185302734375,111764771554,112118310843
7000,4,0.96324514624719559385823686170624569,0.93265490728177302681700666653341614,0.94743093850138948575079211877891794,11176477155.3999996185302734375,111764771554,112118310843
7000,5,0.94608580411751541650033914265804924,0.93650793650793651146102547500049695,0.94094766688489461792244128446327522,11176477155.3999996185302734375,111764771554,112118310843
7000,6,0.96252204239618666115063660981832072,0.98136645962732926840033087501069531,0.97159274182567201272320289717754349,11176477155.3999996185302734375,111764771554,112118310843
7000,7,0.93323607184216395005194044642848894,0.94974083672713816017818544423789717,0.94096488044280324203327836585231125,11176477155.3999996185302734375,111764771554,112118310843
7000,8,0.97343227091520234672827882604906335,0.88000904568068738509367676670080982,0.92397324256191759594969425961608067,11176477155.3999996185302734375,111764771554,112118310843
7000,9,0.88918446811460916112679342404589988,0.93434607645875256132228514616144821,0.91089872824403139706106458106660284,11176477155.3999996185302734375,111764771554,112118310843
8000,0,0.963181,0.983608,0.973227,13505183141,135051831410,135444793447
8000,1,0.91657796368163313438515160669339821,0.98877652933832715920203781934105791,0.95111863512138994369848887799889781,13505183141,135051831410,135444793447
8000,2,0.98224309794153596975263553758850321,0.9081468732071142913042649524868466,0.94319461566545581554521504585864022,13505183141,135051831410,135444793447
