cant_entrenemiento,clase,precision,recall,f1,tiempo_por_fold,tiempo_total_knn,tiempo_total_fold
3000,5,0.91616639571033342548389555304311216,0.91637931034482755787706764749600552,0.91514481069976594262982416694285348,705014548,7050145480,7113842560
3000,6,0.94188573523250940233708661253331229,0.9708602150537635200322483797208406,0.955429130516055602484470909985248,705014548,7050145480,7113842560
3000,7,0.91696229938026385664073814041330479,0.90365591397849465149505476802005433,0.90966428272346067096520982886431739,705014548,7050145480,7113842560
3000,8,0.94932350258437203649464208865538239,0.77142857142857146346415220250491984,0.84806348687350874282486756783328019,705014548,7050145480,7113842560
3000,9,0.82162384859900083888817334809573367,0.88275862068965516016305627999827266,0.85027622125921165086026576318545267,705014548,7050145480,7113842560
4000,0,0.964894,0.9875,0.975561,1249840124.7999999523162841796875,12498401248,12583249338
4000,1,0.89562477495089676260420219477964565,0.99106060606060597528710331971524283,0.94071066033344319379239095724187791,1249840124.7999999523162841796875,12498401248,12583249338
4000,2,0.97371187340289055978104215682833456,0.90232558139534879693144375778501853,0.93550128126072207290775395449600182,1249840124.7999999523162841796875,12498401248,12583249338
4000,3,0.91613640596782630609595798887312412,0.92702702702702721726524259793222882,0.92097524479451231549376188922906294,1249840124.7999999523162841796875,12498401248,12583249338
4000,4,0.94306364117981567041226753644878045,0.90485829959514174625212490354897454,0.92247326237832572015662435660487972,1249840124.7999999523162841796875,12498401248,12583249338
4000,5,0.92305751266277591415843062350177206,0.92083926031294471847843396972166374,0.92087947752699439440959849889623001,1249840124.7999999523162841796875,12498401248,12583249338
4000,6,0.95598018512652649381067249123589136,0.97833914053426229706644789985148236,0.96663057823365794440917397878365591,1249840124.7999999523162841796875,12498401248,12583249338
4000,7,0.92138567587689901294822902855230495,0.93390243902439018519601177104050294,0.927323037786988324526760152366478,1249840124.7999999523162841796875,12498401248,12583249338
4000,8,0.96002435504333050175773678347468376,0.81970310391363021551569545408710837,0.88321715556076374475935608643339947,1249840124.7999999523162841796875,12498401248,12583249338
4000,9,0.84274665347836086315425063730799593,0.89244264507422399468339335726341233,0.86601484573501608110746019519865513,1249840124.7999999523162841796875,12498401248,12583249338
5000,0,0.9632,0.985837,0.974127,1958708849.2000000476837158203125,19587088492,19694137902
5000,1,0.90571538152810726618469061577343382,0.98922077922077922274013417336391285,0.94542366104325059605884007396525703,1958708849.2000000476837158203125,19587088492,19694137902
5000,2,0.9770000502874502945616086435620673,0.90101010101010103880980750545859337,0.93648328723918028426709270206629299,1958708849.2000000476837158203125,19587088492,19694137902
5000,3,0.93125648982838726830379982857266441,0.94166666666666676288599546751356684,0.93591191066766010742128401034278795,1958708849.2000000476837158203125,19587088492,19694137902
5000,4,0.94562235661122184815496893861563876,0.92437943262411326195149285922525451,0.93415544378129611313710256581543945,1958708849.2000000476837158203125,19587088492,19694137902
5000,5,0.93527642287323398129217366658849642,0.93825161887141539374113108351593837,0.93614582292236792060435845996835269,1958708849.2000000476837158203125,19587088492,19694137902
5000,6,0.95885098688872272276739749941043556,0.98457767722473599203425465020700358,0.97133174103215491612672849441878498,1958708849.2000000476837158203125,19587088492,19694137902
5000,7,0.9252491096715770302338910369144287,0.94466666666666676555053072661394253,0.93452891362624657123348015375086106,1958708849.2000000476837158203125,19587088492,19694137902
5000,8,0.96494012073877433177671036901301704,0.84268617021276592815581807371927425,0.8982690899612817414521259706816636,1958708849.2000000476837158203125,19587088492,19694137902
5000,9,0.87177390044943225966278532723663375,0.89747340425531907381895280195749365,0.88373049218001864524296706804307178,1958708849.2000000476837158203125,19587088492,19694137902
6000,0,0.96289,0.986469,0.974316,2817253447.80000019073486328125,28172534478,28300777904
